sudo dtruss -a ./test_pipe 10m 
	PID/THRD  RELATIVE  ELAPSD    CPU SYSCALL(args) 		 = return
 1769/0x8e0c:       133:      0:     0 fork()		 = 0 0
 1770/0x8e0e:      1561       1      0 getpid(0x0, 0x0, 0x0)		 = 1770 0
 1770/0x8e0e:      1564       1      0 getrlimit(0x1008, 0x16F627428, 0x0)		 = 0 0
 1770/0x8e0e:      1567       3      2 fstat64(0x1, 0x16F627420, 0x0)		 = 0 0
 1770/0x8e0e:      1568       1      0 ioctl(0x1, 0x4004667A, 0x16F62746C)		 = 0 0
 1770/0x8e0e:      1585       8      7 write_nocancel(0x1, "Parent (1770): Time to write 10485760 bytes 2715708 nanoseconds\n", 0x40)		 = 64 0
 1770/0x8e0e:      1587       2      1 close(0x4)		 = 0 0
 1769/0x8e0c:    107571      50      1 read(0x3, "...", 0xA00000)		 = 0 0
 1769/0x8e0c:    107576       1      0 getrlimit(0x1008, 0x16F627428, 0x0)		 = 0 0
 1769/0x8e0c:    107579       2      1 fstat64(0x1, 0x16F627420, 0x0)		 = 0 0
 1769/0x8e0c:    107582       1      0 ioctl(0x1, 0x4004667A, 0x16F62746C)		 = 0 0
 1769/0x8e0c:    107589       2      1 write_nocancel(0x1, "Child  (1769): Time to read 10485760 bytes 2900042 nanoseconds\n", 0x3F)		 = 63 0
 1769/0x8e0c:    107598       8      8 close(0x3)		 = 0 0
 1769/0x8e0c:    164496       2      3 madvise(0x152A00000, 0xA00000, 0x9)		 = -1 Err#22
 1770/0x8e0e:     58828       1      0 madvise(0x152A00000, 0xA00000, 0x9)		 = 0 0
 1769/0x8e0c:    221368       3      2 madvise(0x152000000, 0xA00000, 0x9)		 = 0 0

CALL                                        COUNT
crossarch_trap                                  1
csops                                           1
csops_audittoken                                1
exit                                            1
fgetattrlist                                    1
fork                                            1
fstatat64                                       1
getentropy                                      1
issetugid                                       1
map_with_linking_np                             1
objc_bp_assist_cfg_np                           1
pipe                                            1
proc_info                                       1
shm_open                                        1
thread_selfid                                   1
write                                           1
access                                          2
bsdthread_register                              2
getattrlist                                     2
getfsstat64                                     2
getpid                                          2
getrlimit                                       2
mmap                                            2
openat                                          2
shared_region_check_np                          2
write_nocancel                                  2
csrctl                                          3
dup                                             3
fsgetpath                                       3
madvise                                         3
fstat64                                         4
ioctl                                           4
sysctl                                          4
__mac_syscall                                   5
fcntl                                           5
munmap                                          6
open                                            7
stat64                                         11
close                                          16
mprotect                                       28
read                                          161
